account,year,month,ICP2,ICP3,View,Value,region,country,country_HFM,platform,platform HFM,MTD_QTD_YTD,Actual,JU,FBP,PY@ActualFX,Actual@JU,Actual@FBP,PY@FBP17,PY@FBP16,Actual@PYrate,JU_Sep,JU_DEC,PY_DEC
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,US,US,DPS_US.USxCAdj,Hips,30570,MTD,79759,77682,77493,73584,79759,79759,73584,73584,79759,78196,89128,84402
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,UK,DPS_EUR.DPS_UK,Hips,30570,MTD,5858,6148,5974,6784,5678,5777,6015,7254,6515,5967.8161,5535.4939,5229.5817
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Germany,DPS_EUR.DPS_DE,Hips,30570,MTD,3096,2976,3294,3322,2909,3068,3307,3235,3083,3353.6175,2745.6975,1927.6875
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Italy,DPS_EUR.DPS_IT,Hips,30570,MTD,2104,2439,2531,2427,1971,2079,2416,2364,2090,2207.0625,2419.3875,1853.9325
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Benelux,DPS_EUR.DPS_Benelux,Hips,30570,MTD,2483,2431,2409,2323,2337,2464,2312,2262,2476,2861.9175,2400.39,2379.1575
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,"MISSA (Maghreb, Iran, Sub Sah. Africa)",DPS_MEA.004954,Hips,30570,MTD,480,703,763,283,480,480,283,283,480,501,311,460
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Prof Middle East,DPS_MEA.004961,Hips,30570,MTD,1808,648,1106,1165,1808,1808,1165,1165,1808,923,677,1254
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Pakistan,DPS_MEA.002540,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Arab Emirates,DPS_MEA.MRC_AE,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,France,DPS_EUR.DPS_FR,Hips,30570,MTD,1733,1672,1862,1948,1635,1723,1939,1897,1731,1809.2325,1753.3575,1507.5075
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Switzerland incl. Export,DPS_EUR.DPS_CH,Hips,30570,MTD,1261,1135,1119,1131,1207,1243,1119,1105,1254,1513.5666,1653.4847,1454.3312
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Iberia,DPS_EUR.DPS_Iberia,Hips,30570,MTD,1500,1517,1520,1448,1427,1503,1443,1411,1508,1322.0025,1383.465,1468.395
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Ireland,Rest_EUR.DPS_IR,Hips,30570,MTD,1484,1147,1182,1155,1409,1485,1150,1125,1490,1204.665,1275.0675,987.87
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Poland,Rest_EUR.DPS_PL,Hips,30570,MTD,963,1008,1197,978,903,939,997,980,921,923.3784,979.6248,883.0164
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Russia,DPS_EUR.DPS_RU,Hips,30570,MTD,868,1531,1366,1941,880,803,2096,2040,805,1153.6098,1023.4764,1129.6953
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,South Africa,DPS_MEA.DPS_ZA,Hips,30570,MTD,938,1067,1075,946,867,870,1031,1037,801,975.177972,768.646845,708.363639
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Finland,Rest_EUR.DPS_FI,Hips,30570,MTD,542,576,672,527,510,538,524,513,540,620.2125,520.755,511.815
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Norway,Rest_EUR.DPS_NO,Hips,30570,MTD,421,557,815,565,412,442,582,546,429,609.0768,511.4556,309.1338
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J S.E. Slovenia,Rest_EUR.002790,Hips,30570,MTD,683,602,565,485,648,683,483,472,685,749.8425,541.9875,573.2775
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Sweden,Rest_EUR.DPS_SE,Hips,30570,MTD,538,506,459,464,514,541,446,450,562,542.90131,455.819105,481.793025
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Austria,Rest_EUR.DPS_AT,Hips,30570,MTD,438,392,413,421,412,435,419,410,437,447,461.5275,372.1275
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Medical Israel,DPS_MEA.004966,Hips,30570,MTD,614,575,473,516,594,574,506,494,586,529.387412,435.174398,473.440188
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Denmark,Rest_EUR.DPS_DK,Hips,30570,MTD,583,489,409,406,555,585,404,394,586,525.8502,441.4378,618.3734
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Czech Repub,Rest_EUR.DPS_CZ,Hips,30570,MTD,231,270,220,357,214,222,356,347,223,196.614495,257.521572,221.589291
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Hungary,Rest_EUR.DPS_HU,Hips,30570,MTD,406,281,329,288,385,412,295,283,403,281.04408,454.23894,263.45778
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Turkey,DPS_MEA.DPS_TR,Hips,30570,MTD,230,163,129,81,220,269,78,81,281,227.88355,219.35841,34.10056
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Medical Greece,Rest_EUR.003760,Hips,30570,MTD,143,147,135,93,135,142,93,91,143,126.2775,160.92,220.1475
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Medical Baltic States,Rest_EUR.002614,Hips,30570,MTD,47,41,68,42,43,46,41,40,46,58.11,64.815,58.11
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,EU Regional,Rest_EUR.Reg_EUR,Hips,30570,MTD, -   ,833," (1,166)", -   , -   , -   , -   , -   , -   ,-576.63,-1135.38,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,China,DPS_ASPAC.DPS_CN,Hips,30570,MTD,6025,5801,6372,6651,5926,6105,6542,6902,6200,6248.7884,7858.4152,8131.3597
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Australia,DPS_ASPAC.DPS_AU,Hips,30570,MTD,4893,5782,5826,5600,4870,4915,5744,5377,4793,5984.0514,5847.0525,5337.6588
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Japan,DPS_ASPAC.DPS_JP,Hips,30570,MTD,4696,4744,5070,4797,4686,5015,4894,4203,4901,4659.4951,5508.2677,4891.9143
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,India,DPS_ASPAC.DPS_IN,Hips,30570,MTD,1302,1788,1685,1349,1299,1252,1358,1388,1243,1731.5118,1793.166496,1551.817856
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,New Zealand,Rest_ASPAC.DPS_NZ,Hips,30570,MTD,1223,1083,1064,1139,1187,1216,1172,1097,1186,1144.4688,1023.7352,960.868
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Korea,DPS_ASPAC.DPS_KR,Hips,30570,MTD,410,492,532,535,405,413,560,546,396,479.03443,877.83748,125.232875
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,J&J Medical Thailand,Rest_ASPAC.004940,Hips,30570,MTD,510,487,403,424,502,499,429,420,492,448.534272,519.305688,422.106064
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,MRC SG (004462),DPS_SG.MRC_SG,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,J&J Medical Singapore,DPS_SG.004471,Hips,30570,MTD,184,145,122,111,181,185,109,107,187,163.184,182.8535,112.189
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,J&J Med Indonesia,Rest_ASPAC.003891,Hips,30570,MTD,215,239,240,249,215,219,256,244,214,247.6272314,245.839935,176.7274845
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Malaysia,Rest_ASPAC.DPS_MY,Hips,30570,MTD,63,90,148,119,60,64,116,111,66,85.7514,102.5654,24.02
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Hong Kong,Rest_ASPAC.DPS_HK,Hips,30570,MTD,113,104,100,112,113,113,112,112,113,104.7957,104.9246,114.9788
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Vietnam,Rest_ASPAC.DPS_VN,Hips,30570,MTD,10,8,23,12,10,10,12,12,10,15.72324693,18.34364612,0.859538276
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Taiwan,Rest_ASPAC.DPS_TW,Hips,30570,MTD, (24),18,24, (3), (24), (23), (3), (3), (22),13.878906,18.505208,-35.109196
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Asia-Pac Reg Off-Pro,DPS_SG.5280SGD,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,J&J Med Philippines,Rest_ASPAC.004360,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,ASPAC,Other ASPAC,Rest_ASPAC.MRC_Other_ASPAC,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Chile,Rest_LAT.DPS_CL,Hips,30570,MTD,678,1413,584,463,688,675,471,455,659,604.057484,672.6901976,462.7718496
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Brazil,DPS_LAT.DPS_BR,Hips,30570,MTD,1222,720,980,829,1270,1237,889,731,1150,817.4348,701.1004,803.8212
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Mexico,DPS_LAT.DPS_MX,Hips,30570,MTD,677,475,582,636,661,645,612,708,669,550.9817,505.4735,372.94905
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Colombia,DPS_LAT.DPS_CO,Hips,30570,MTD,368,608,386,351,379,370,357,359,364,544.5610302,457.3246718,404.6545732
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Argentina,Rest_LAT.DPS_AR,Hips,30570,MTD,1186,566,553,314,1210,1228,292,468,1310,803.7312,840.4672,250.0672
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,JJ Med Car - PR,Rest_LAT.001757,Hips,30570,MTD,86,64,89,56,86,86,56,56,86,102,105,81
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Peru,Rest_LAT.MRC_PE,Hips,30570,MTD,158, -   , -   ,178,159,152,175,182,155,0,0,76.88730321
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,J&J MD&D Venezuela HI,Rest_LAT.005259,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Costa Rica,Rest_LAT.MRC_CR,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,LATAM,Other LAT,Rest_LAT.MRC_Other_LA,Hips,30570,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,CANADA,Canada,DPS_NAM.DPS_CA,Hips,30570,MTD,2285,1992,2080,2055,2282,2304,2000,2008,2355,2093.364,2196.18,1914.192
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,US,US,DPS_US.USxCAdj,Knees,30580,MTD,88535,90635,91945,85633,88535,88535,85633,85633,88535,91643,104273,98033
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,UK,DPS_EUR.DPS_UK,Knees,30580,MTD,7144,7174,7008,7874,6928,7050,6980,8419,7953,6986.6807,6333.141,6080.321
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Germany,DPS_EUR.DPS_DE,Knees,30580,MTD,3859,3913,4217,4190,3622,3820,4169,4079,3839,4345.9575,3457.545,2291.9925
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Italy,DPS_EUR.DPS_IT,Knees,30580,MTD,2404,3001,3224,3099,2233,2357,3084,3018,2372,3170.3475,3476.5425,2372.4525
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Benelux,DPS_EUR.DPS_Benelux,Knees,30580,MTD,2440,3000,3197,2900,2287,2412,2887,2824,2425,3190.4625,3329.0325,2744.58
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,"MISSA (Maghreb, Iran, Sub Sah. Africa)",DPS_MEA.004954,Knees,30580,MTD,455,811,454,38,455,455,38,38,455,648,307,289
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Prof Middle East,DPS_MEA.004961,Knees,30580,MTD,3099,1477,1547,1779,3099,3099,1779,1779,3099,2105,1545,1567
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,J&J Pakistan,DPS_MEA.002540,Knees,30580,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Arab Emirates,DPS_MEA.MRC_AE,Knees,30580,MTD, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,France,DPS_EUR.DPS_FR,Knees,30580,MTD,2416,2259,2236,2047,2278,2402,2035,1991,2413,2792.6325,2197.005,1812.585
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Switzerland incl. Export,DPS_EUR.DPS_CH,Knees,30580,MTD,2237,2480,2548,2550,2128,2193,2526,2493,2217,3145.604,2886.1938,2630.8688
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Iberia,DPS_EUR.DPS_Iberia,Knees,30580,MTD,1646,1822,1781,1898,1559,1643,1892,1851,1649,1601.3775,1663.9575,1913.16
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Ireland,Rest_EUR.DPS_IR,Knees,30580,MTD,998,826,900,879,943,993,875,856,998,914.115,943.17,632.505
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Poland,Rest_EUR.DPS_PL,Knees,30580,MTD,520,474,549,499,490,510,509,500,501,428.0976,456.7416,398.1516
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Russia,DPS_EUR.DPS_RU,Knees,30580,MTD,1023,1102,1015,833,1030,949,880,856,905,830.8122,1015.4193,1319.35815
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,South Africa,DPS_MEA.DPS_ZA,Knees,30580,MTD,738,705,722,632,684,685,688,692,630,717.283827,566.791623,491.761332
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Finland,Rest_EUR.DPS_FI,Knees,30580,MTD,136,192,213,173,126,133,172,168,134,206.7375,174.33,185.505
500001,2017,Jun,TotC2,TotC3,Periodic,USD Total,EMEA,Norway,Rest_EUR.DPS_NO,Knees,30580,MTD,173,150,205,116,170,181,119,112,176,163.944,137.862,309.258
